id,sequence,task,choices,response,response_type,domain,enc_task,enc_response,rt,confidence,confidence_time,correct,valid,age,gender,education,puzzles,maths,condition,experience,strategies,system12,unfocused,adjusted,helpful
CRNRFFSQBI,10,No;agents;secretaries/All;brokers;agents,Some not;secretaries;brokers|No;secretaries;brokers|NVC|Some;brokers;secretaries|Some;secretaries;brokers|Some not;brokers;secretaries|All;secretaries;brokers|All;brokers;secretaries|No;brokers;secretaries,No;brokers;secretaries,single-choice,syllogistic,EA2,Eca,13.26273133333515,,,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,11,All;engineers;therapists/Some;travelers;engineers,Some not;therapists;travelers|No;therapists;travelers|NVC|Some;travelers;therapists|Some;therapists;travelers|Some not;travelers;therapists|All;therapists;travelers|All;travelers;therapists|No;travelers;therapists,Some;travelers;therapists,single-choice,syllogistic,AI2,Ica,21.691675999998733,,,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,12,Some;cleaners;auditors/Some not;painters;cleaners,Some not;auditors;painters|No;auditors;painters|NVC|Some;painters;auditors|Some;auditors;painters|Some not;painters;auditors|All;auditors;painters|All;painters;auditors|No;painters;auditors,All;painters;auditors,single-choice,syllogistic,IO2,Aca,29.414074333299666,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,13,Some;students;linguists/No;linguists;climbers,Some not;students;climbers|No;students;climbers|NVC|Some;climbers;students|Some;students;climbers|Some not;climbers;students|All;students;climbers|All;climbers;students|No;climbers;students,Some;students;climbers,single-choice,syllogistic,IE1,Iac,13.059400999993,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,14,Some;poets;agents/Some;skaters;agents,Some not;poets;skaters|No;poets;skaters|NVC|Some;skaters;poets|Some;poets;skaters|Some not;skaters;poets|All;poets;skaters|All;skaters;poets|No;skaters;poets,Some;skaters;poets,single-choice,syllogistic,II3,Ica,16.724731000006013,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,15,Some;lawyers;athletes/All;hunters;athletes,Some not;lawyers;hunters|No;lawyers;hunters|NVC|Some;hunters;lawyers|Some;lawyers;hunters|Some not;hunters;lawyers|All;lawyers;hunters|All;hunters;lawyers|No;hunters;lawyers,Some not;lawyers;hunters,single-choice,syllogistic,IA3,Oac,38.49871399998565,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,16,All;actors;dentists/All;dentists;buyers,Some not;actors;buyers|No;actors;buyers|NVC|Some;buyers;actors|Some;actors;buyers|Some not;buyers;actors|All;actors;buyers|All;buyers;actors|No;buyers;actors,All;actors;buyers,single-choice,syllogistic,AA1,Aac,7.386567333360558,,,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,17,Some;auditors;clerks/Some not;clerks;cashiers,Some not;auditors;cashiers|No;auditors;cashiers|NVC|Some;cashiers;auditors|Some;auditors;cashiers|Some not;cashiers;auditors|All;auditors;cashiers|All;cashiers;auditors|No;cashiers;auditors,Some;cashiers;auditors,single-choice,syllogistic,IO1,Ica,13.3334580000042,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,18,All;soldiers;editors/No;florists;editors,Some not;soldiers;florists|No;soldiers;florists|NVC|Some;florists;soldiers|Some;soldiers;florists|Some not;florists;soldiers|All;soldiers;florists|All;florists;soldiers|No;florists;soldiers,No;florists;soldiers,single-choice,syllogistic,AE3,Eca,13.10031199997655,,,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,19,Some;boxers;dancers/Some not;boxers;typists,Some not;dancers;typists|No;dancers;typists|NVC|Some;typists;dancers|Some;dancers;typists|Some not;typists;dancers|All;dancers;typists|All;typists;dancers|No;typists;dancers,NVC,single-choice,syllogistic,IO4,NVC,12.22865200000995,,,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,20,No;mayors;cleaners/No;cleaners;models,Some not;mayors;models|No;mayors;models|NVC|Some;models;mayors|Some;mayors;models|Some not;models;mayors|All;mayors;models|All;models;mayors|No;models;mayors,All;mayors;models,single-choice,syllogistic,EE1,Aac,36.23294233332985,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,21,All;therapists;climbers/No;climbers;skaters,Some not;therapists;skaters|No;therapists;skaters|NVC|Some;skaters;therapists|Some;therapists;skaters|Some not;skaters;therapists|All;therapists;skaters|All;skaters;therapists|No;skaters;therapists,No;skaters;therapists,single-choice,syllogistic,AE1,Eca,21.604698333342558,,,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,22,Some;pilots;drivers/No;butchers;pilots,Some not;drivers;butchers|No;drivers;butchers|NVC|Some;butchers;drivers|Some;drivers;butchers|Some not;butchers;drivers|All;drivers;butchers|All;butchers;drivers|No;butchers;drivers,No;butchers;drivers,single-choice,syllogistic,IE2,Eca,12.50588299998634,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,23,Some not;clerks;managers/Some not;models;clerks,Some not;managers;models|No;managers;models|NVC|Some;models;managers|Some;managers;models|Some not;models;managers|All;managers;models|All;models;managers|No;models;managers,Some;managers;models,single-choice,syllogistic,OO2,Iac,13.388968333323703,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,24,Some not;investors;bakers/All;bakers;sailors,Some not;investors;sailors|No;investors;sailors|NVC|Some;sailors;investors|Some;investors;sailors|Some not;sailors;investors|All;investors;sailors|All;sailors;investors|No;sailors;investors,Some not;investors;sailors,single-choice,syllogistic,OA1,Oac,24.413687333305287,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,25,No;climbers;secretaries/Some;climbers;fencers,Some not;secretaries;fencers|No;secretaries;fencers|NVC|Some;fencers;secretaries|Some;secretaries;fencers|Some not;fencers;secretaries|All;secretaries;fencers|All;fencers;secretaries|No;fencers;secretaries,No;fencers;secretaries,single-choice,syllogistic,EI4,Eca,17.915389333357197,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,26,No;skaters;poets/Some;miners;skaters,Some not;poets;miners|No;poets;miners|NVC|Some;miners;poets|Some;poets;miners|Some not;miners;poets|All;poets;miners|All;miners;poets|No;miners;poets,Some not;poets;miners,single-choice,syllogistic,EI2,Oac,16.355289000004355,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,27,All;poets;waiters/Some not;waiters;cashiers,Some not;poets;cashiers|No;poets;cashiers|NVC|Some;cashiers;poets|Some;poets;cashiers|Some not;cashiers;poets|All;poets;cashiers|All;cashiers;poets|No;cashiers;poets,Some;poets;cashiers,single-choice,syllogistic,AO1,Iac,9.170685333331445,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,28,Some not;farmers;assistants/Some;assistants;scholars,Some not;farmers;scholars|No;farmers;scholars|NVC|Some;scholars;farmers|Some;farmers;scholars|Some not;scholars;farmers|All;farmers;scholars|All;scholars;farmers|No;scholars;farmers,Some not;farmers;scholars,single-choice,syllogistic,OI1,Oac,14.410652999997016,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,29,Some;actuaries;boxers/All;opticians;actuaries,Some not;boxers;opticians|No;boxers;opticians|NVC|Some;opticians;boxers|Some;boxers;opticians|Some not;opticians;boxers|All;boxers;opticians|All;opticians;boxers|No;opticians;boxers,Some not;opticians;boxers,single-choice,syllogistic,IA2,Oca,22.652654000013722,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,30,Some not;porters;judges/Some;porters;brewers,Some not;judges;brewers|No;judges;brewers|NVC|Some;brewers;judges|Some;judges;brewers|Some not;brewers;judges|All;judges;brewers|All;brewers;judges|No;brewers;judges,Some;brewers;judges,single-choice,syllogistic,OI4,Ica,21.32598399999707,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,31,All;poets;writers/Some;writers;singers,Some not;poets;singers|No;poets;singers|NVC|Some;singers;poets|Some;poets;singers|Some not;singers;poets|All;poets;singers|All;singers;poets|No;singers;poets,Some;singers;poets,single-choice,syllogistic,AI1,Ica,23.51151999998056,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,32,No;investors;jugglers/All;barbers;jugglers,Some not;investors;barbers|No;investors;barbers|NVC|Some;barbers;investors|Some;investors;barbers|Some not;barbers;investors|All;investors;barbers|All;barbers;investors|No;barbers;investors,No;investors;barbers,single-choice,syllogistic,EA3,Eac,18.71899799999571,,,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,33,Some not;jugglers;farmers/Some;gamblers;jugglers,Some not;farmers;gamblers|No;farmers;gamblers|NVC|Some;gamblers;farmers|Some;farmers;gamblers|Some not;gamblers;farmers|All;farmers;gamblers|All;gamblers;farmers|No;gamblers;farmers,Some;gamblers;farmers,single-choice,syllogistic,OI2,Ica,26.077345333327415,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,34,No;waiters;managers/Some not;brokers;waiters,Some not;managers;brokers|No;managers;brokers|NVC|Some;brokers;managers|Some;managers;brokers|Some not;brokers;managers|All;managers;brokers|All;brokers;managers|No;brokers;managers,Some not;brokers;managers,single-choice,syllogistic,EO2,Oca,43.17471733333538,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,35,Some not;counselors;riders/Some not;counselors;joggers,Some not;riders;joggers|No;riders;joggers|NVC|Some;joggers;riders|Some;riders;joggers|Some not;joggers;riders|All;riders;joggers|All;joggers;riders|No;joggers;riders,NVC,single-choice,syllogistic,OO4,NVC,19.957281000017847,,,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,36,Some not;campers;engineers/Some not;fencers;engineers,Some not;campers;fencers|No;campers;fencers|NVC|Some;fencers;campers|Some;campers;fencers|Some not;fencers;campers|All;campers;fencers|All;fencers;campers|No;fencers;campers,NVC,single-choice,syllogistic,OO3,NVC,8.920590000003601,,,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,37,Some not;planners;surfers/No;artists;planners,Some not;surfers;artists|No;surfers;artists|NVC|Some;artists;surfers|Some;surfers;artists|Some not;artists;surfers|All;surfers;artists|All;artists;surfers|No;artists;surfers,No;artists;surfers,single-choice,syllogistic,OE2,Eca,24.367499333341527,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,38,Some;trainers;architects/All;architects;designers,Some not;trainers;designers|No;trainers;designers|NVC|Some;designers;trainers|Some;trainers;designers|Some not;designers;trainers|All;trainers;designers|All;designers;trainers|No;designers;trainers,Some;designers;trainers,single-choice,syllogistic,IA1,Ica,8.853879333337176,,,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,39,Some;students;cyclists/Some;cyclists;buyers,Some not;students;buyers|No;students;buyers|NVC|Some;buyers;students|Some;students;buyers|Some not;buyers;students|All;students;buyers|All;buyers;students|No;buyers;students,Some;buyers;students,single-choice,syllogistic,II1,Ica,8.410397000014822,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,40,All;judges;athletes/Some;drillers;athletes,Some not;judges;drillers|No;judges;drillers|NVC|Some;drillers;judges|Some;judges;drillers|Some not;drillers;judges|All;judges;drillers|All;drillers;judges|No;drillers;judges,Some;judges;drillers,single-choice,syllogistic,AI3,Iac,12.922349999993958,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,41,No;sculptors;bakers/Some;gamblers;bakers,Some not;sculptors;gamblers|No;sculptors;gamblers|NVC|Some;gamblers;sculptors|Some;sculptors;gamblers|Some not;gamblers;sculptors|All;sculptors;gamblers|All;gamblers;sculptors|No;gamblers;sculptors,No;gamblers;sculptors,single-choice,syllogistic,EI3,Eca,11.340837333311597,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,42,No;teachers;golfers/No;bankers;golfers,Some not;teachers;bankers|No;teachers;bankers|NVC|Some;bankers;teachers|Some;teachers;bankers|Some not;bankers;teachers|All;teachers;bankers|All;bankers;teachers|No;bankers;teachers,NVC,single-choice,syllogistic,EE3,NVC,4.568646666655959,,,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,43,Some not;painters;teachers/No;painters;plumbers,Some not;teachers;plumbers|No;teachers;plumbers|NVC|Some;plumbers;teachers|Some;teachers;plumbers|Some not;plumbers;teachers|All;teachers;plumbers|All;plumbers;teachers|No;plumbers;teachers,No;plumbers;teachers,single-choice,syllogistic,OE4,Eca,11.321447333355708,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,44,All;cooks;mayors/No;cooks;swimmers,Some not;mayors;swimmers|No;mayors;swimmers|NVC|Some;swimmers;mayors|Some;mayors;swimmers|Some not;swimmers;mayors|All;mayors;swimmers|All;swimmers;mayors|No;swimmers;mayors,No;swimmers;mayors,single-choice,syllogistic,AE4,Eca,8.403695999980012,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,45,No;boxers;surfers/No;boxers;florists,Some not;surfers;florists|No;surfers;florists|NVC|Some;florists;surfers|Some;surfers;florists|Some not;florists;surfers|All;surfers;florists|All;florists;surfers|No;florists;surfers,NVC,single-choice,syllogistic,EE4,NVC,6.152724000006948,,,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,46,Some;campers;novelists/No;joggers;novelists,Some not;campers;joggers|No;campers;joggers|NVC|Some;joggers;campers|Some;campers;joggers|Some not;joggers;campers|All;campers;joggers|All;joggers;campers|No;joggers;campers,No;joggers;campers,single-choice,syllogistic,IE3,Eca,11.538407999992325,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,47,No;cooks;nurses/Some not;cooks;painters,Some not;nurses;painters|No;nurses;painters|NVC|Some;painters;nurses|Some;nurses;painters|Some not;painters;nurses|All;nurses;painters|All;painters;nurses|No;painters;nurses,NVC,single-choice,syllogistic,EO4,NVC,38.35162700000306,,,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,48,Some not;secretaries;agents/No;agents;brokers,Some not;secretaries;brokers|No;secretaries;brokers|NVC|Some;brokers;secretaries|Some;secretaries;brokers|Some not;brokers;secretaries|All;secretaries;brokers|All;brokers;secretaries|No;brokers;secretaries,Some;secretaries;brokers,single-choice,syllogistic,OE1,Iac,27.50683633332404,63.0,2.5677959999740168,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,49,All;bakers;investors/All;bakers;sailors,Some not;investors;sailors|No;investors;sailors|NVC|Some;sailors;investors|Some;investors;sailors|Some not;sailors;investors|All;investors;sailors|All;sailors;investors|No;sailors;investors,All;investors;sailors,single-choice,syllogistic,AA4,Aac,5.235636000007418,100.0,2.5321570000052485,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,50,Some;golfers;teachers/All;golfers;bankers,Some not;teachers;bankers|No;teachers;bankers|NVC|Some;bankers;teachers|Some;teachers;bankers|Some not;bankers;teachers|All;teachers;bankers|All;bankers;teachers|No;bankers;teachers,Some;teachers;bankers,single-choice,syllogistic,IA4,Iac,14.563275333305075,39.0,16.36346000000817,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,51,All;chemists;skaters/Some not;hikers;skaters,Some not;chemists;hikers|No;chemists;hikers|NVC|Some;hikers;chemists|Some;chemists;hikers|Some not;hikers;chemists|All;chemists;hikers|All;hikers;chemists|No;hikers;chemists,NVC,single-choice,syllogistic,AO3,NVC,16.687207000016983,59.0,1.684074000000953,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,52,Some;judges;porters/Some not;brewers;porters,Some not;judges;brewers|No;judges;brewers|NVC|Some;brewers;judges|Some;judges;brewers|Some not;brewers;judges|All;judges;brewers|All;brewers;judges|No;brewers;judges,NVC,single-choice,syllogistic,IO3,NVC,9.371395333339784,66.0,1.5506819999814028,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,53,All;linguists;carpenters/No;divers;linguists,Some not;carpenters;divers|No;carpenters;divers|NVC|Some;divers;carpenters|Some;carpenters;divers|Some not;divers;carpenters|All;carpenters;divers|All;divers;carpenters|No;divers;carpenters,No;divers;carpenters,single-choice,syllogistic,AE2,Eca,11.552292333354508,83.0,1.66740000000596,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,54,No;nurses;actors/Some not;drillers;actors,Some not;nurses;drillers|No;nurses;drillers|NVC|Some;drillers;nurses|Some;nurses;drillers|Some not;drillers;nurses|All;nurses;drillers|All;drillers;nurses|No;drillers;nurses,NVC,single-choice,syllogistic,EO3,NVC,12.871011333336353,67.0,1.4006159999966616,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,55,No;nurses;cooks/All;cooks;painters,Some not;nurses;painters|No;nurses;painters|NVC|Some;painters;nurses|Some;nurses;painters|Some not;painters;nurses|All;nurses;painters|All;painters;nurses|No;painters;nurses,No;painters;nurses,single-choice,syllogistic,EA1,Eca,8.437029333313344,67.0,1.680256000012159,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,56,Some not;analysts;counselors/Some;opticians;counselors,Some not;analysts;opticians|No;analysts;opticians|NVC|Some;opticians;analysts|Some;analysts;opticians|Some not;opticians;analysts|All;analysts;opticians|All;opticians;analysts|No;opticians;analysts,Some;analysts;opticians,single-choice,syllogistic,OI3,Iac,20.076057333339975,70.0,2.2343159999847426,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,57,Some not;scientists;chefs/Some not;chefs;runners,Some not;scientists;runners|No;scientists;runners|NVC|Some;runners;scientists|Some;scientists;runners|Some not;runners;scientists|All;scientists;runners|All;runners;scientists|No;runners;scientists,Some;scientists;runners,single-choice,syllogistic,OO1,Iac,22.883409000008946,69.0,1.617377999991178,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,58,No;jugglers;investors/No;barbers;jugglers,Some not;investors;barbers|No;investors;barbers|NVC|Some;barbers;investors|Some;investors;barbers|Some not;barbers;investors|All;investors;barbers|All;barbers;investors|No;barbers;investors,No;barbers;investors,single-choice,syllogistic,EE2,Eca,15.268020999997708,76.0,2.200968000024558,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,59,Some not;mayors;cleaners/All;models;cleaners,Some not;mayors;models|No;mayors;models|NVC|Some;models;mayors|Some;mayors;models|Some not;models;mayors|All;mayors;models|All;models;mayors|No;models;mayors,Some;models;mayors,single-choice,syllogistic,OA3,Ica,29.73223699998802,72.0,2.000879999995231,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,60,Some;cyclists;lifeguards/No;cyclists;divers,Some not;lifeguards;divers|No;lifeguards;divers|NVC|Some;divers;lifeguards|Some;lifeguards;divers|Some not;divers;lifeguards|All;lifeguards;divers|All;divers;lifeguards|No;divers;lifeguards,Some;lifeguards;divers,single-choice,syllogistic,IE4,Iac,38.846112000017335,69.0,1.2005279999971386,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,61,No;boxers;architects/Some;architects;runners,Some not;boxers;runners|No;boxers;runners|NVC|Some;runners;boxers|Some;boxers;runners|Some not;runners;boxers|All;boxers;runners|All;runners;boxers|No;runners;boxers,Some not;runners;boxers,single-choice,syllogistic,EI1,Oca,33.90697133334406,65.0,1.2087159999907013,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,62,Some not;porters;packers/All;hunters;porters,Some not;packers;hunters|No;packers;hunters|NVC|Some;hunters;packers|Some;packers;hunters|Some not;hunters;packers|All;packers;hunters|All;hunters;packers|No;hunters;packers,All;hunters;packers,single-choice,syllogistic,OA2,Aca,12.198560000002322,81.0,2.784557999998337,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,63,Some;clerks;managers/Some;clerks;models,Some not;managers;models|No;managers;models|NVC|Some;models;managers|Some;managers;models|Some not;models;managers|All;managers;models|All;models;managers|No;models;managers,NVC,single-choice,syllogistic,II4,NVC,10.087703333367898,82.0,1.2505499999821181,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CTMRWUNKVX,0,No;skaters;chemists/Some not;hikers;skaters,NVC|Some;hikers;chemists|No;hikers;chemists|Some not;hikers;chemists|All;chemists;hikers|Some;chemists;hikers|No;chemists;hikers|Some not;chemists;hikers|All;hikers;chemists,Some not;hikers;chemists,single-choice,syllogistic,EO2,Oca,22.368016000032718,,,False,False,20,female,high,no,no,control,no,2,4,2,,
CTMRWUNKVX,1,Some;farmers;jugglers/No;jugglers;gamblers,NVC|Some;gamblers;farmers|No;gamblers;farmers|Some not;gamblers;farmers|All;farmers;gamblers|Some;farmers;gamblers|No;farmers;gamblers|Some not;farmers;gamblers|All;gamblers;farmers,Some not;farmers;gamblers,single-choice,syllogistic,IE1,Oac,7.767354333360959,,,True,True,20,female,high,no,no,control,no,2,4,2,,
CTMRWUNKVX,2,Some;investors;jugglers/Some not;jugglers;barbers,NVC|Some;barbers;investors|No;barbers;investors|Some not;barbers;investors|All;investors;barbers|Some;investors;barbers|No;investors;barbers|Some not;investors;barbers|All;barbers;investors,Some not;investors;barbers,single-choice,syllogistic,IO1,Oac,5.366773333271336,,,False,False,20,female,high,no,no,control,no,2,4,2,,
CTMRWUNKVX,3,No;poets;agents/All;skaters;agents,NVC|Some;skaters;poets|No;skaters;poets|Some not;skaters;poets|All;poets;skaters|Some;poets;skaters|No;poets;skaters|Some not;poets;skaters|All;skaters;poets,No;poets;skaters,single-choice,syllogistic,EA3,Eac,9.267553333361969,,,True,True,20,female,high,no,no,control,no,2,4,2,,
CTMRWUNKVX,4,Some;poets;waiters/Some;waiters;cashiers,NVC|Some;cashiers;poets|No;cashiers;poets|Some not;cashiers;poets|All;poets;cashiers|Some;poets;cashiers|No;poets;cashiers|Some not;poets;cashiers|All;cashiers;poets,Some;poets;cashiers,single-choice,syllogistic,II1,Iac,7.350146333416277,,,False,False,20,female,high,no,no,control,no,2,4,2,,
CTMRWUNKVX,5,All;riders;counselors/All;counselors;joggers,NVC|Some;joggers;riders|No;joggers;riders|Some not;joggers;riders|All;riders;joggers|Some;riders;joggers|No;riders;joggers|Some not;riders;joggers|All;joggers;riders,All;riders;joggers,single-choice,syllogistic,AA1,Aac,14.217758333405104,,,True,True,20,female,high,no,no,control,no,2,4,2,,
CTMRWUNKVX,6,All;engineers;therapists/No;engineers;travelers,NVC|Some;travelers;therapists|No;travelers;therapists|Some not;travelers;therapists|All;therapists;travelers|Some;therapists;travelers|No;therapists;travelers|Some not;therapists;travelers|All;travelers;therapists,No;travelers;therapists,single-choice,syllogistic,AE4,Eca,19.10139733334413,,,False,True,20,female,high,no,no,control,no,2,4,2,,
CTMRWUNKVX,7,Some not;drivers;pilots/Some not;butchers;pilots,NVC|Some;butchers;drivers|No;butchers;drivers|Some not;butchers;drivers|All;drivers;butchers|Some;drivers;butchers|No;drivers;butchers|Some not;drivers;butchers|All;butchers;drivers,NVC,single-choice,syllogistic,OO3,NVC,6.084020333250348,,,True,False,20,female,high,no,no,control,no,2,4,2,,
CTMRWUNKVX,8,Some not;novelists;campers/All;novelists;joggers,NVC|Some;joggers;campers|No;joggers;campers|Some not;joggers;campers|All;campers;joggers|Some;campers;joggers|No;campers;joggers|Some not;campers;joggers|All;joggers;campers,Some not;campers;joggers,single-choice,syllogistic,OA4,Oac,24.168256333311678,,,False,True,20,female,high,no,no,control,no,2,4,2,,
